Feature,Importance
cat__ca_0.0,0.023917748917748994
cat__cp_4.0,0.02067099567099575
num__oldpeak,0.010822510822510923
cat__ca_2.0,0.008766233766233821
cat__exang_1.0,0.005627705627705681
cat__exang_0.0,0.005627705627705681
num__thalach,0.0034632034632035348
num__trestbps,0.0033549783549783885
cat__slope_1.0,0.0014069264069264454
cat__cp_1.0,0.0014069264069264454
cat__cp_3.0,0.0006493506493507328
cat__fbs_1.0,2.2204460492503132e-17
cat__fbs_0.0,2.2204460492503132e-17
cat__restecg_1.0,0.0
cat__thal_6.0,-0.00021645021645020358
num__chol,-0.00043290043290040715
cat__ca_3.0,-0.0006493506493506329
cat__restecg_0.0,-0.0008658008658008365
cat__restecg_2.0,-0.0018398268398268191
cat__slope_2.0,-0.0023809523809523283
cat__cp_2.0,-0.00281385281385278
cat__slope_3.0,-0.00281385281385278
num__age,-0.0029220779220779035
cat__thal_7.0,-0.004545454545454464
cat__thal_3.0,-0.00562770562770556
cat__sex_1.0,-0.006060606060606011
cat__sex_0.0,-0.006060606060606011
cat__ca_1.0,-0.007359307359307288
